32;5;8;0;0.884185;0.000583649;muon
21;4;9;0;0.992479;0.000583649;muon
31;5;6;0;1.08032;0.00753784;electron
25;4;8;0;1.26288;0.000617981;muon
36;4;8;0;1.35921;0.000617981;muon
0;5;6;0;1.36083;0.0708008;electron
24;5;12;0;0.870103;0.0017395;electron
34;4;8;0;1.02064;0.000671387;muon
33;4;8;0;1.03841;0.000671387;muon
24;4;8;0;0.95207;0;electron
27;4;10;0;1.44868;0.00297546;muon
38;5;8;1;1.5289;0.00297546;muon
31;5;8;0;1.41825;0.000375748;muon
35;7;6;0;1.49016;0.000375748;muon
42;5;8;0;1.00842;0.263672;electron
36;4;10;0;1.00966;0.00069809;electron
31;4;8;0;1.04235;0.00105286;muon
23;4;8;0;1.08056;0.00105286;muon
22;3;8;0;0.352477;0.0035553;muon
26;4;11;0;0.390821;0.0035553;muon
36;4;8;0;2.28208;0.863281;electron
37;4;6;0;0.941302;0.000423431;muon
32;4;8;0;0.951154;0.000423431;muon
29;4;6;0;1.53259;0.000835419;muon
31;3;8;1;1.66736;0.000835419;muon
41;5;10;1;1.07653;0.000199318;muon
36;3;8;0;1.20837;0.000199318;muon
0;3;12;0;1.07042;0.000149727;electron
37;4;8;0;1.17316;4.1008e-05;muon
32;5;8;0;1.23257;4.1008e-05;muon
41;4;8;0;1.45854;0.000153542;muon
30;4;10;0;1.46527;0.000153542;muon
35;4;8;1;0.640478;0.0025177;muon
34;4;8;1;0.651829;0.0025177;muon
13;4;8;1;1.32174;0.335938;electron
27;4;9;0;1.11654;0.00202942;muon
37;3;8;0;1.1224;0.00202942;muon
42;4;10;0;1.06954;0.001091;muon
31;5;8;0;1.07142;0.001091;muon
36;3;8;0;1.446;0.0961914;electron
34;3;8;0;1.77495;4.1008e-05;muon
26;5;11;0;1.81349;4.1008e-05;muon
21;4;6;0;1.96469;0.000161171;muon
36;6;8;0;1.99454;0.000161171;muon
21;4;8;0;1.42408;0.0017395;electron
36;4;6;0;1.46354;0.225586;electron
20;3;10;0;1.48409;0.00025177;muon
17;4;8;0;1.50434;0.00025177;muon
30;3;6;0;1.20013;0.000774384;muon
36;3;8;0;1.21169;0.000774384;muon
38;3;8;0;1.3003;0.00100708;muon
30;4;8;0;1.45287;0.00100708;muon
37;5;8;1;1.53983;0.00361633;muon
30;4;8;0;1.59871;0.00361633;muon
32;4;8;0;1.69381;0.000774384;muon
27;3;6;0;1.7835;0.000774384;muon
27;4;7;0;1.19732;0.00113678;muon
27;4;12;0;1.21143;0.00113678;muon
20;3;8;0;0.775612;0.000389099;muon
34;5;8;0;0.844076;0.000389099;muon
36;3;10;0;1.28365;0.00151825;electron
27;4;8;0;1.32267;0.000218391;muon
39;4;6;0;1.36566;0.000218391;muon
36;4;6;0;2.06198;0.00361633;electron
25;3;8;1;1.02696;4.1008e-05;electron
28;4;9;0;0.956615;0.00106049;electron
38;3;9;0;1.35311;0.792969;electron
37;5;8;0;1.45076;0.0013504;muon
23;3;8;0;1.47697;0.0013504;muon
0;3;8;0;1.12144;0.00335693;muon
36;4;8;0;1.13523;0.00335693;muon
39;4;8;0;0.69117;0.699219;muon
0;4;6;0;0.743428;0.699219;muon
31;4;10;1;1.50309;0.000362396;muon
36;3;8;0;1.5668;0.000362396;muon
25;5;10;0;1.36216;0.478516;electron
38;4;8;0;1.39328;4.02927e-05;muon
23;4;8;0;1.39761;4.02927e-05;muon
40;4;10;0;0.763691;0.000999451;muon
20;4;8;0;0.770337;0.000999451;muon
30;4;6;1;1.13154;0.000326157;muon
39;4;12;0;1.14909;0.000326157;muon
31;4;8;0;1.24459;0.00025177;muon
30;4;8;0;1.24567;0.00025177;muon
33;3;8;0;1.38544;0.000305176;electron
24;3;12;0;1.51265;0.000835419;muon
36;5;8;0;1.53483;0.000835419;muon
0;4;8;0;1.67797;0.245117;electron
20;3;8;0;0.847183;0.746094;electron
18;4;8;0;1.20006;0.00105286;muon
30;4;11;0;1.27936;0.00105286;muon
31;2;6;0;1.08307;0.753906;electron
26;4;10;0;1.666;0.457031;electron
37;5;9;0;1.03794;7.10487e-05;muon
23;4;9;0;1.06976;7.10487e-05;muon
30;3;8;1;1.68321;0.804688;electron
0;5;10;0;1.15288;4.52995e-05;electron
0;4;10;0;2.48093;0.0732422;electron
24;3;7;1;1.25217;0.617188;electron
10;4;12;0;1.37698;0.00263977;muon
33;3;8;0;1.45416;0.00263977;muon
0;3;10;0;0.946186;0.00753784;muon
33;4;8;0;0.99131;0.00753784;muon
30;4;10;0;1.41908;0.000930786;muon
33;4;8;0;1.42768;0.000930786;muon
36;4;10;0;2.57318;0.000312805;muon
35;3;8;1;2.61511;0.000312805;muon
36;5;8;0;1.12173;0.000930786;electron
37;4;9;0;1.30358;0.000999451;muon
36;5;8;1;1.30931;0.000999451;muon
17;3;8;1;1.39097;0.0358887;electron
29;4;9;0;1.61328;0.000999451;electron
37;4;8;0;1.41172;0.000499725;muon
30;5;8;0;1.53582;0.000499725;muon
20;4;12;1;0.847093;0.0050354;muon
37;4;7;0;0.878857;0.0050354;muon
33;4;7;0;1.32325;0.00262451;electron
28;4;8;0;1.29799;0.00174713;muon
37;4;8;0;1.30357;0.00174713;muon
25;5;6;0;2.31936;0.695312;electron
0;4;10;1;1.36864;0.460938;electron
42;4;8;0;1.1658;0.000999451;muon
0;6;7;0;1.24729;0.000999451;muon
0;4;8;1;1.30203;0.703125;electron
36;4;8;0;1.00974;0.000299454;muon
34;4;9;0;1.02158;0.000299454;muon
29;4;8;0;0.623212;0.816406;electron
29;4;8;0;1.06142;0.000930786;electron
34;3;8;1;1.1998;0.00119781;muon
34;4;8;0;1.28683;0.00119781;muon
0;4;8;1;1.30132;0.621094;electron
19;4;8;1;1.3745;0.3125;electron
28;3;8;0;1.36299;0.000488281;muon
25;6;8;0;1.42717;0.000488281;muon
34;4;11;0;0.568211;0.0050354;muon
37;5;12;0;0.596102;0.0050354;muon
32;4;8;1;1.60652;0.000835419;muon
0;5;9;0;1.61406;0.000835419;muon
36;3;11;0;1.11381;0.000846863;electron
26;4;8;0;1.26665;0.000999451;electron
38;4;7;0;1.24051;0.000423431;muon
0;5;3;0;1.26505;0.000423431;muon
35;4;8;0;1.27151;0.000183105;muon
36;4;9;1;1.2739;0.000183105;muon
30;3;9;1;1.29351;0.00144958;muon
34;4;8;0;1.30464;0.00144958;muon
35;4;8;0;1.43307;0.000156403;electron
24;4;8;0;1.156;0.000207901;electron
26;4;8;0;0.917425;9.9659e-05;muon
32;5;6;0;0.978393;9.9659e-05;muon
39;5;9;0;1.34681;0.000326157;electron
38;4;8;1;1.98615;0.000495911;muon
21;3;8;0;2.03838;0.000495911;muon
0;4;8;1;0.627196;0.550781;electron
23;3;7;0;0.779592;0.279297;electron
32;4;8;0;1.74784;0.000930786;muon
29;4;10;1;1.86472;0.000930786;muon
31;4;10;0;1.32493;0.00509644;electron
0;4;8;0;1.29451;0.107422;electron
31;3;8;1;0.926561;0.0022583;muon
0;4;10;0;0.938711;0.0022583;muon
25;4;8;0;0.986608;5.98431e-05;electron
31;4;10;0;1.10846;0.00105286;electron
33;3;8;0;1.05696;0.00087738;electron
22;4;8;0;0.949345;0.000740051;muon
36;4;8;0;0.983237;0.000740051;muon
24;5;5;0;1.35932;0.000999451;electron
40;5;8;0;0.853937;0.097168;electron
38;4;8;0;0.884107;0.800781;electron
38;5;9;0;0.348974;0.00050354;muon
35;4;8;0;0.360449;0.00050354;muon
37;4;8;0;0.432971;0.691406;muon
19;3;8;0;0.439258;0.691406;muon
35;4;8;0;1.17782;0.0038147;muon
33;5;8;0;1.2254;0.0038147;muon
36;4;6;0;1.43994;0.0013504;muon
35;5;8;0;1.49401;0.0013504;muon
31;5;8;0;1.22404;0.00174713;muon
34;4;8;0;1.27156;0.00174713;muon
38;4;7;0;2.03145;0.00037384;electron
28;5;8;0;1.09758;0.000207901;muon
21;3;8;0;1.19382;0.000207901;muon
0;4;9;1;0.440271;0.00215149;muon
23;5;8;0;0.46398;0.00215149;muon
35;4;12;0;2.118;0.0732422;electron
35;4;8;0;2.26151;0.785156;electron
0;5;9;0;1.45878;0.00119781;electron
16;4;8;0;1.17938;0.000530243;muon
34;4;10;0;1.24695;0.000530243;muon
12;3;8;0;1.031;0.000545502;electron
33;3;8;0;1.2452;0.00174713;muon
0;4;8;1;1.27944;0.00174713;muon
32;4;8;0;1.34182;0.000499725;electron
31;5;7;0;0.772877;0.00367737;muon
37;5;12;0;0.799522;0.00367737;muon
0;3;8;0;0.892528;0.000134468;muon
32;4;10;0;0.910904;0.000134468;muon
40;4;8;0;0.787694;0.000463486;muon
11;5;10;0;0.801911;0.000463486;muon
34;5;10;0;1.06333;0.00119781;muon
34;4;8;0;1.09202;0.00119781;muon
13;3;8;0;2.00308;3.24249e-05;muon
32;4;8;0;2.03579;3.24249e-05;muon
24;4;8;0;1.19715;0.00034523;muon
31;3;8;1;1.21203;0.00034523;muon
37;4;8;0;0.574852;0.000333786;muon
38;4;10;0;0.629342;0.000333786;muon
11;4;10;0;1.39699;0.605469;electron
34;5;8;0;1.20561;0.773438;electron
29;4;8;0;0.97869;0.00311279;muon
33;5;8;0;1.09748;0.00311279;muon
21;4;9;0;1.4781;0.625;electron
29;3;8;0;0.885912;0.00174713;muon
32;5;6;0;0.889073;0.00174713;muon
37;4;8;0;0.5449;0.00144196;muon
19;4;8;0;0.565431;0.00144196;muon
0;2;8;0;1.58154;0.000705719;muon
27;4;8;0;1.59282;0.000705719;muon
