19;4;10;0;muon
21;5;7;0;muon
16;4;7;0;electron
33;3;8;0;muon
0;4;8;1;muon
31;5;7;0;muon
37;5;12;0;muon
0;3;8;0;muon
32;4;10;0;muon
40;4;8;0;muon
11;5;10;0;muon
34;5;10;0;muon
34;4;8;0;muon
13;3;8;0;muon
32;4;8;0;muon
25;5;9;1;electron
24;4;8;0;muon
31;3;8;1;muon
37;4;8;0;muon
38;4;10;0;muon
11;4;10;0;electron
34;5;8;0;electron
29;4;8;0;muon
33;5;8;0;muon
21;4;9;0;electron
29;3;8;0;muon
32;5;6;0;muon
37;4;8;0;muon
19;4;8;0;muon
0;2;8;0;muon
27;4;8;0;muon
34;3;8;0;electron
31;5;8;0;electron
25;4;8;0;electron
40;4;10;0;muon
34;4;8;0;muon
0;4;8;0;electron
0;4;8;0;electron
33;4;8;0;muon
40;6;8;0;muon
37;2;8;0;muon
0;6;9;0;muon
24;4;8;0;muon
28;4;8;0;muon
26;4;8;0;muon
26;5;8;0;muon
34;4;8;0;muon
32;4;8;0;muon
23;4;10;0;muon
33;5;8;0;muon
31;4;10;0;muon
0;5;8;0;muon
42;4;8;0;muon
33;4;10;0;muon
35;5;8;0;muon
37;3;10;0;muon
35;4;6;0;muon
29;3;7;0;muon
23;4;9;0;electron
17;4;8;0;electron
35;4;10;1;muon
32;4;8;0;muon
20;4;8;0;electron
0;4;4;0;electron
35;2;9;0;muon
24;4;8;0;muon
33;5;8;0;muon
19;3;9;0;muon
19;4;8;0;muon
25;4;8;0;muon
35;5;9;0;electron
32;4;8;0;muon
35;4;6;0;muon
35;3;8;0;muon
33;2;9;0;muon
24;3;7;0;muon
19;5;8;0;muon
33;3;8;1;muon
19;4;9;0;muon
39;4;6;0;muon
22;4;8;0;muon
41;5;8;0;muon
0;4;6;0;muon
38;4;9;0;muon
36;4;6;0;muon
0;4;9;0;electron
0;3;8;0;muon
23;4;6;0;muon
38;5;8;0;electron
36;4;8;0;muon
27;2;11;0;muon
32;3;7;0;electron
29;5;8;0;muon
30;5;8;0;muon
37;4;10;0;muon
32;4;9;0;muon
28;4;8;0;electron
21;4;8;0;muon
41;4;8;0;muon
37;4;10;0;electron
37;4;10;0;electron
18;5;8;0;muon
31;4;8;0;muon
0;3;11;0;muon
34;4;8;0;muon
39;4;11;0;muon
33;4;7;1;muon
35;6;8;1;muon
41;5;8;0;muon
35;4;10;0;muon
25;6;10;0;muon
35;5;8;0;muon
35;5;8;0;muon
31;3;9;0;electron
35;4;8;0;electron
24;4;8;0;muon
25;4;8;0;muon
38;4;9;0;electron
37;6;10;0;muon
32;4;8;0;muon
39;3;10;1;muon
34;3;8;0;muon
24;5;8;0;muon
0;4;8;0;muon
0;4;8;0;muon
0;4;5;0;muon
20;5;8;0;electron
37;4;9;0;electron
0;6;9;0;muon
37;4;8;0;muon
26;4;6;1;muon
18;5;8;0;muon
36;4;8;0;muon
33;4;10;0;muon
0;4;8;0;muon
0;4;8;1;muon
24;4;6;1;electron
32;4;10;0;muon
40;5;8;0;muon
27;5;10;0;muon
22;5;8;0;muon
22;4;8;0;muon
28;5;8;0;muon
35;3;8;0;muon
41;4;8;0;muon
35;4;5;0;muon
34;3;8;0;muon
36;4;9;1;electron
0;4;6;0;electron
25;5;8;0;muon
34;4;4;0;muon
35;3;8;0;muon
21;4;8;1;muon
38;4;10;0;muon
15;4;8;0;muon
31;4;8;0;electron
25;2;10;0;muon
24;3;8;0;muon
37;4;8;0;muon
